"","item","label","class","summary","value"
"1","","","","Rows in dataset","150"
"2","","","","Columns in dataset","6"
"3","id","Unique identifier","","unique values","150"
"4","","","","missing","0"
"5","Sepal.Length","Measurement of sepal length (in cm)","numeric","mean","6"
"6","","","","median","6"
"7","","","","min","4.3"
"8","","","","max","7.9"
"9","","","","missing","0"
"10","Sepal.Width","Measurement of sepal width (in cm)","numeric","mean","3"
"11","","","","median","3"
"12","","","","min","2"
"13","","","","max","4.4"
"14","","","","missing","0"
"15","Petal.Length","Measurement of petal length (in cm)","numeric","mean","4"
"16","","","","median","4"
"17","","","","min","1"
"18","","","","max","6.9"
"19","","","","missing","0"
"20","Petal.Width","Measurement of petal width (in cm)","numeric","mean","1"
"21","","","","median","1"
"22","","","","min","0.1"
"23","","","","max","2.5"
"24","","","","missing","0"
"25","Species","Type of iris","factor","setosa (1)","50"
"26","","","","versicolor (2)","50"
"27","","","","virginica (3)","50"
"28","","","","missing","0"
